,relation
0,measures
1,associated_with
2,interacts_with
3,analyzes
4,evaluation_of
5,affects
6,performs
7,result_of
8,isa
9,degree_of
10,location_of
11,prevents
12,process_of
13,occurs_in
14,diagnoses
15,causes
16,manifestation_of
17,produces
18,part_of
19,issue_in
20,complicates
21,connected_to
22,disrupts
23,uses
24,assesses_effect_of
25,precedes
26,treats
27,property_of
28,co-occurs_with
29,manages
30,contains
31,exhibits
32,derivative_of
33,measurement_of
34,carries_out
35,adjacent_to
36,indicates
37,ingredient_of
38,conceptual_part_of
39,method_of
40,surrounds
41,interconnects
42,practices
43,consists_of
44,developmental_form_of
45,conceptually_related_to
